Station,Lat,Long,Date,Hour,tmp(f),relhumidity,solar,precip,windspeed,soil_temp(4in),soil_temp(12in),soil_temp(24in),soil_temp(50in),soil12vwc
FRUI4,41.356,-91.13603,4/17/21,0:00,50.558,69.36,0,0,4.6740074,56.354,55.166,53.384,51.872,4.3
FRUI4,41.356,-91.13603,4/17/21,1:00,50.18,70.6,0,0,5.340009,55.652,55.292,53.438,51.854,4.3
FRUI4,41.356,-91.13603,4/17/21,2:00,48.686,76.7,0,0,2.5880044,55.076,55.4,53.528,51.836,4.3
FRUI4,41.356,-91.13603,4/17/21,3:00,48.254,78.79,0,0,7.051012,54.59,55.472,53.618,51.872,4.3
FRUI4,41.356,-91.13603,4/17/21,4:00,47.66,84.5,0,0,9.790016,54.122,55.508,53.69,51.872,4.2
FRUI4,41.356,-91.13603,4/17/21,5:00,47.966,83.2,0,0,8.830014,53.726,55.472,53.78,51.836,4.2
FRUI4,41.356,-91.13603,4/17/21,6:00,47.12,86.1,0,0,7.6180124,53.366,55.436,53.87,51.854,4.2
FRUI4,41.356,-91.13603,4/17/21,7:00,46.904,86.8,18910.023,0,5.97501,53.024,55.364,53.942,51.908,4.2
FRUI4,41.356,-91.13603,4/17/21,8:00,47.462,85.9,162704.45,0,7.141012,52.718,55.31,53.978,51.89,4.2
FRUI4,41.356,-91.13603,4/17/21,9:00,49.118,81.5,656760.1,0,7.6180124,52.592,55.202,54.032,51.89,4.2
FRUI4,41.356,-91.13603,4/17/21,10:00,52.358,74.5,1270181.8,0,8.250014,52.916,55.112,54.068,51.89,4.2
FRUI4,41.356,-91.13603,4/17/21,11:00,56.498,60.95,2167866,0,8.320014,53.978,55.04,54.086,51.872,4.3
FRUI4,41.356,-91.13603,4/17/21,12:00,58.568,52.74,2461410.2,0,8.390014,55.796,54.95,54.14,51.89,4.3
FRUI4,41.356,-91.13603,4/17/21,13:00,60.62,43.46,2820929.7,0,7.7000127,58.082,54.878,54.158,51.908,4.3
FRUI4,41.356,-91.13603,4/17/21,14:00,61.16,36.37,2495465.8,0,7.9780135,60.35,54.878,54.194,51.926,4.3
FRUI4,41.356,-91.13603,4/17/21,15:00,63.32,31.42,2773787.6,0,9.180015,61.898,54.932,54.212,51.908,4.2
FRUI4,41.356,-91.13603,4/17/21,16:00,62.762,30.54,2327237.8,0,9.320016,63.41,55.094,54.194,51.908,4.2
FRUI4,41.356,-91.13603,4/17/21,17:00,63.59,29.75,2203067.6,0,8.920014,64.418,55.31,54.23,51.944,4.2
FRUI4,41.356,-91.13603,4/17/21,18:00,63.446,29.74,1376142.2,0,8.280013,64.832,55.652,54.23,51.926,4.2
FRUI4,41.356,-91.13603,4/17/21,19:00,61.394,29.48,751175.96,0,8.280013,64.472,55.976,54.266,51.926,4.2
FRUI4,41.356,-91.13603,4/17/21,20:00,53.924,39.73,103221.54,0,6.5170107,63.446,56.318,54.32,51.962,4.2
FRUI4,41.356,-91.13603,4/17/21,21:00,52.79,40.93,248.93999,0,4.715008,61.988,56.678,54.356,51.98,4.2
FRUI4,41.356,-91.13603,4/17/21,22:00,47.948,52.35,0,0,2.8540049,60.494,56.966,54.446,51.944,4.2
FRUI4,41.356,-91.13603,4/17/21,23:00,45.1202,57.52,0,0,0,59.126,57.2,54.518,51.98,4.2
FRUI4,41.356,-91.13603,4/18/21,0:00,44.2886,59.48,0,0,0,57.848,57.38,54.59,51.98,4.2
FRUI4,41.356,-91.13603,4/18/21,1:00,43.7846,58.88,0,0,0,56.678,57.488,54.68,51.98,4.2
FRUI4,41.356,-91.13603,4/18/21,2:00,42.6182,70.61,0,0,0,55.652,57.524,54.788,52.016,4.2
FRUI4,41.356,-91.13603,4/18/21,3:00,43.5848,63.17,0,0,0,54.824,57.524,54.896,52.034,4.2
FRUI4,41.356,-91.13603,4/18/21,4:00,43.2572,69.89,0,0,0,54.158,57.488,54.986,52.016,4.2
FRUI4,41.356,-91.13603,4/18/21,5:00,42.7946,65.47,0,0,0.43000072,53.636,57.416,55.058,52.016,4.2
FRUI4,41.356,-91.13603,4/18/21,6:00,42.3392,61.86,0,0,0,53.078,57.29,55.166,52.07,4.2
FRUI4,41.356,-91.13603,4/18/21,7:00,39.5132,79.54,74690.21,0,0,52.43,57.182,55.22,52.07,4.2
FRUI4,41.356,-91.13603,4/18/21,8:00,47.75,57.07,524298.03,0,0,51.98,57.02,55.292,52.07,4.2
FRUI4,41.356,-91.13603,4/18/21,9:00,50.432,53.66,1161792,0,2.1170034,52.088,56.84,55.328,52.07,4.2
FRUI4,41.356,-91.13603,4/18/21,10:00,54.302,54,1570866.1,0,4.5070076,52.934,56.696,55.328,52.088,4.1
FRUI4,41.356,-91.13603,4/18/21,11:00,59.306,41.38,2043131.8,0,6.1390104,54.266,56.516,55.4,52.07,4.1
FRUI4,41.356,-91.13603,4/18/21,12:00,60.332,36.18,2677279.3,0,8.270014,56.246,56.372,55.4,52.106,4.1
