ID,Type,Species,Capture Method,Date,Time,Latitude,Longitude,Sex,Notch Pattern,Name,Found,Active,Exposure,Microhabitat,Habitat Notes,Emergent Vegetation,Submergent Vegetation,Water Depth,Notes
2844,tracked turtle,Terrapene ornata,Telemetry,5/9/21,9:41:23,41.32104679,-91.0825383,Male,"1,3-3L9R",Diez,Found,Not Active,30,On Land,,,,,
2853,tracked turtle,Terrapene ornata,Telemetry,5/10/21,9:31:00,41.3209547,-91.0825586,Male,"1,3-3L9R",Diez,Found,Active,100,On Land,,,,,
2898,tracked turtle,Terrapene ornata,Telemetry,5/12/21,9:30:14,41.32127582,-91.08219941,Male,"1,3-3L9R",Diez,Found,Active,100,On Land,,,,,
2882,tracked turtle,Terrapene ornata,Telemetry,5/13/21,9:43:38,41.32155125,-91.08276084,Male,"1,3-3L9R",Diez,Found,Active,100,On Land,,,,,
2945,tracked turtle,Terrapene ornata,Telemetry,5/16/21,10:07:10,41.32104375,-91.0825991,Male,"1,3-3L9R",Diez,Found,Active,100,On Land,,,,,
3015,tracked turtle,Terrapene ornata,Telemetry,5/19/21,9:46:45,41.32141859,-91.08209506,Male,"1,3-3L9R",Diez,Found,Not Active,10,On Land,,,,,
3062,tracked turtle,Terrapene ornata,Telemetry,5/20/21,9:30:08,41.3206599,-91.08279665,Male,"1,3-3L9R",Diez,Found,Active,100,On Land,,,,,
3149,tracked turtle,Terrapene ornata,Telemetry,5/21/21,9:47:06,41.32127352,-91.08235734,Male,"1,3-3L9R",Diez,Found,Not Active,0,On Land,,,,,
3170,tracked turtle,Terrapene ornata,Telemetry,5/22/21,10:29:09,41.32085748,-91.08220038,Male,"1,3-3L9R",Diez,Found,Active,80,On Land,,,,,
3233,tracked turtle,Terrapene ornata,Telemetry,5/24/21,10:01:46,41.32072067,-91.08282125,Male,"1,3-3L9R",Diez,Found,Active,100,On Land,,,,,
3326,tracked turtle,Terrapene ornata,Telemetry,5/26/21,10:53:21,41.32055845,-91.08322581,Male,"1,3-3L9R",Diez,Found,Active,100,On Land,,,,,
3395,tracked turtle,Terrapene ornata,Telemetry,5/29/21,9:52:58,41.3206673,-91.08309115,Male,"1,3-3L9R",Diez,Found,Not Active,25,On Land,,,,,
3436,tracked turtle,Terrapene ornata,Telemetry,5/31/21,9:50:37,41.32071763,-91.08280887,Male,"1,3-3L9R",Diez,Found,Not Active,50,On Land,,,,,
3474,tracked turtle,Terrapene ornata,Telemetry,6/2/21,10:55:29,41.32067595,-91.08319821,Male,"1,3-3L9R",Diez,Found,Active,0,On Land,,,,,
3544,tracked turtle,Terrapene ornata,Telemetry,6/3/21,9:55:57,41.32062033,-91.08328397,Male,"1,3-3L9R",Diez,Found,Active,100,On Land,,,,,
3901,tracked turtle,Terrapene ornata,Telemetry,6/14/21,8:00:36,41.32072073,-91.08301218,Male,"1,3-3L9R",Diez,Found,Active,15,On Land,,,,,
3975,tracked turtle,Terrapene ornata,Telemetry,6/17/21,8:25:50,41.32071052,-91.08304392,Male,"1,3-3L9R",Diez,Not Found,Not Active,0,On Land,,,,,
4076,tracked turtle,Terrapene ornata,Telemetry,6/23/21,7:46:46,41.32072192,-91.08293971,Male,"1,3-3L9R",Diez,Found,Not Active,5,On Land,,,,,
4168,tracked turtle,Terrapene ornata,Telemetry,7/2/21,7:36:25,41.32068327,-91.08298444,Male,"1,3-3L9R",Diez,Found,Not Active,0,On Land,,,,,
4339,tracked turtle,Terrapene ornata,Telemetry,7/12/21,10:10:54,41.32067385,-91.08291526,Male,"1,3-3L9R",Diez,Found,Active,0,On Land,,,,,
4525,tracked turtle,Terrapene ornata,Telemetry,7/20/21,8:55:02,41.32111515,-91.08238624,Male,"1,3-3L9R",Diez,Found,Not Active,0,On Land,buried almost completely under grass clump,,,,download data logger
4552,tracked turtle,Terrapene ornata,Telemetry,7/27/21,8:32:35,41.32094289,-91.08259254,Male,"1,3-3L9R",Diez,Not Found,Not Active,0,On Land,,,,,
4576,tracked turtle,Terrapene ornata,Telemetry,8/4/21,11:28:32,41.32079242,-91.08259708,Male,"1,3-3L9R",Diez,Not Found,Not Active,0,On Land,,,,,
4607,tracked turtle,Terrapene ornata,Telemetry,8/11/21,8:19:15,41.32112281,-91.08239254,Male,"1,3-3L9R",Diez,Found,Not Active,0,On Land,,,,,
4612,tracked turtle,Terrapene ornata,Telemetry,8/19/21,8:26:07,41.32112792,-91.08236538,Male,"1,3-3L9R",Diez,Found,Active,0,On Land,,,,,
4646,tracked turtle,Terrapene ornata,Telemetry,8/26/21,8:30:42,41.32189512,-91.08259178,Male,"1,3-3L9R",Diez,Found,Active,100,On Land,,,,,
4672,tracked turtle,Terrapene ornata,Telemetry,9/1/21,8:19:41,41.32058436,-91.082558,Male,"1,3-3L9R",Diez,Found,Active,50,On Land,,,,,
4678,tracked turtle,Terrapene ornata,Telemetry,9/8/21,9:26:02,41.32117,-91.08248767,Male,"1,3-3L9R",Diez,Not Found,Not Active,0,On Land,,,,,
4699,tracked turtle,Terrapene ornata,Telemetry,9/15/21,9:39:40,41.32090718,-91.0824692,Male,"1,3-3L9R",Diez,Found,Not Active,0,On Land,,,,,
4716,tracked turtle,Terrapene ornata,Telemetry,9/22/21,9:51:53,41.32077191,-91.08267805,Male,"1,3-3L9R",Diez,Not Found,Not Active,0,On Land,,,,,
4735,tracked turtle,Terrapene ornata,Telemetry,9/29/21,9:34:27,41.32104691,-91.08243462,Male,"1,3-3L9R",Diez,Not Found,Active,0,On Land,,,,,
4762,tracked turtle,Terrapene ornata,Telemetry,10/6/21,9:19:31,41.32098895,-91.08288699,Male,"1,3-3L9R",Diez,Not Found,Not Active,0,On Land,,,,,
4776,tracked turtle,Terrapene ornata,Telemetry,11/4/21,10:22:30,41.32096575,-91.08296528,Male,"1,3-3L9R",Diez,Not Found,Not Active,0,On Land,,,,,
4880,tracked turtle,Terrapene ornata,Telemetry,5/12/22,9:53:02,41.32065691,-91.08257321,Male,"1,3-3L9R",Diez,Found,Active,100,On Land,,,,,
